category,id,name,version,owner,maturity
core,agent-identity,agent-identity,,,
core,agent-kernel,agent-kernel,,,
core,alignment-engine,alignment-engine,,,
core,api-gateway,api-gateway,,,
core,audit-trail,audit-trail,,,
core,autonomous-os,autonomous-os,,,
core,benchmark-factory,benchmark-factory,,,
core,billing-runtime,billing-runtime,,,
core,business-orchestration,business-orchestration,,,
core,cluster-management,cluster-management,,,
core,cognitive-runtime,cognitive-runtime,,,
core,compliance-runtime,compliance-runtime,,,
core,connector-hub,connector-hub,,,
core,data-fabric,data-fabric,,,
core,developer-portal,developer-portal,,,
core,distributed-agent-runtime,distributed-agent-runtime,,,
core,economic-coordination,economic-coordination,,,
core,enterprise-integration-hub,enterprise-integration-hub,,,
core,enterprise-search,enterprise-search,,,
core,event-bus,event-bus,,,
core,evolution-engine,evolution-engine,,,
core,explainability,explainability,,,
core,federated-runtime,federated-runtime,,,
core,governance,governance,,,
core,gtm-orchestration,gtm-orchestration,,,
core,hitl-dashboard,hitl-dashboard,,,
core,inference-engine-fleet,inference-engine-fleet,,,
core,knowledge-graph,knowledge-graph,,,
core,kv-cache-management,kv-cache-management,,,
core,local-runtime,local-runtime,,,
core,local-security,local-security,,,
core,lora-lifecycle,lora-lifecycle,,,
core,master-data-management,master-data-management,,,
core,mcp-integrations,mcp-integrations,,,
core,meeting-intelligence,meeting-intelligence,,,
core,memory-token-management,sdlc-memory-token-management,,,
core,model-evaluation,model-evaluation,,,
core,model-lifecycle,model-lifecycle,,,
core,model-routing,model-routing,,,
core,multi-agent,multi-agent,,,
core,multimodal-runtime,multimodal-runtime,,,
core,notification-orchestration,notification-orchestration,,,
core,observability-platform,observability-platform,,,
core,operator-console,operator-console,,,
core,orchestration,sdlc-orchestration,,,
core,persistent-agent-runtime,persistent-agent-runtime,,,
core,policy-engine,policy-engine,,,
core,predictive-reasoning,predictive-reasoning,,,
core,privacy-runtime,privacy-runtime,,,
core,ray-runtime,ray-runtime,,,
core,reinforcement-optimizer,reinforcement-optimizer,,,
core,research-runtime,research-runtime,,,
core,retrieval-engine,retrieval-engine,,,
core,runtime-economics,runtime-economics,,,
core,sandbox-execution,sandbox-execution,,,
core,sdk-runtime,sdk-runtime,,,
core,semantic-layer,semantic-layer,,,
core,simulation-engine,simulation-engine,,,
core,skill-gap-engine,skill-gap-engine,,,
core,strategic-planning,strategic-planning,,,
core,synthetic-data,synthetic-data,,,
core,telemetry,telemetry,,,
core,temporal-integration,temporal-integration,,,
core,tenant-management,tenant-management,,,
core,workflow-engine,workflow-engine,,,
core,workflow-runtime,workflow-runtime,,,
core,world-model,world-model,,,
core,zero-trust-runtime,zero-trust-runtime,,,
skills,accounting-automation,accounting-automation,,,
skills,adversarial-evaluation,adversarial-evaluation,,,
skills,ai-engineering,ai-engineering,,,
skills,ai-search-optimization,ai-search-optimization,,,
skills,alignment-testing,alignment-testing,,,
skills,analytics-intelligence,analytics-intelligence,,,
skills,audio-video-processing,audio-video-processing,,,
skills,backend-engineering,backend-engineering,,,
skills,belief-state-management,belief-state-management,,,
skills,benchmark-generation,benchmark-generation,,,
skills,budget-planning,budget-planning,,,
skills,business-continuity-planning,business-continuity-planning,,,
skills,business-simulation,business-simulation,,,
skills,cache-placement-optimization,cache-placement-optimization,,,
skills,capacity-balancing,capacity-balancing,,,
skills,causal-analysis,causal-analysis,,,
skills,causal-tracing,causal-tracing,,,
skills,checkpoint-management,checkpoint-management,,,
skills,cloud-deployment,cloud-deployment,,,
skills,code-review,code-review,,,
skills,communication-analytics,communication-analytics,,,
skills,compliance-automation,compliance-automation,,,
skills,compliance-governance,compliance-governance,,,
skills,compliance-posture-reporting,compliance-posture-reporting,,,
skills,constraint-reasoning,constraint-reasoning,,,
skills,content-marketing,content-marketing,,,
skills,continuous-control-monitoring,continuous-control-monitoring,,,
skills,crm-integration,crm-integration,,,
skills,customer-success,customer-success,,,
skills,data-contract-management,data-contract-management,,,
skills,data-redaction,data-redaction,,,
skills,dataset-curation,dataset-curation,,,
skills,deception-detection,deception-detection,,,
skills,decision-intelligence,decision-intelligence,,,
skills,developer-experience,developer-experience,,,
skills,devsecops,devsecops,,,
skills,disaster-recovery-automation,disaster-recovery-automation,,,
skills,discovery-synthesis,discovery-synthesis,,,
skills,distributed-training-orchestration,distributed-training-orchestration,,,
skills,document-intelligence,document-intelligence,,,
skills,edge-runtime-management,edge-runtime-management,,,
skills,erp-integration,erp-integration,,,
skills,evaluation-dataset-curation,evaluation-dataset-curation,,,
skills,execution-explanation,execution-explanation,,,
skills,executive-reporting,executive-reporting,,,
skills,forecasting,forecasting,,,
skills,frontend-engineering,frontend-engineering,,,
skills,goal-decomposition,goal-decomposition,,,
skills,gpu-cluster-optimization,gpu-cluster-optimization,,,
skills,harm-classification,harm-classification,,,
skills,hierarchical-planning,hierarchical-planning,,,
skills,hypothesis-generation,hypothesis-generation,,,
skills,inbox-automation,inbox-automation,,,
skills,incident-simulation,incident-simulation,,,
skills,inference-batching-optimization,inference-batching-optimization,,,
skills,inference-engine-benchmarking,inference-engine-benchmarking,,,
skills,inference-engine-deployment,inference-engine-deployment,,,
skills,initiative-prioritization,initiative-prioritization,,,
skills,institutional-knowledge-query,institutional-knowledge-query,,,
skills,iot-data-ingestion,iot-data-ingestion,,,
skills,itsm-integration,itsm-integration,,,
skills,lateral-movement-detection,lateral-movement-detection,,,
skills,launch-planning,launch-planning,,,
skills,legal-hold-management,legal-hold-management,,,
skills,legal-ops,legal-ops,,,
skills,lessons-learned-extraction,lessons-learned-extraction,,,
skills,lineage-analysis,lineage-analysis,,,
skills,literature-review,literature-review,,,
skills,long-horizon-planning,long-horizon-planning,,,
skills,lora-management,lora-management,,,
skills,marketplace-publishing,marketplace-publishing,,,
skills,memory-compression,memory-compression,,,
skills,meta-reasoning,meta-reasoning,,,
skills,model-benchmarking,model-benchmarking,,,
skills,model-distillation,model-distillation,,,
skills,model-placement-optimization,model-placement-optimization,,,
